id,priority,epic,title,why,sprint,pass,depends_on,status,owner,acceptance,evidence
REL-001,P0,Execution integrity,Fail-closed capability admission,Unknown verbs currently admit actual mutations as reads,S01,P1,,READY_FOR_LIGHT_QA,medium,C01 C02 C03,S01-development-handoff.md; S01-validation.md
REL-002,P0,Execution integrity,Normalize provider and WhatIf outcomes,Structured failures currently authorize validation and report executed,S01,P1,REL-001,NEEDS_TECH_LEAD,medium,O01 O02 O03 O04,S01-development-handoff.md; S01-validation.md
REL-003,P0,Execution integrity,Immutable approval and atomic lifecycle,Mutable plans and unchecked digest cannot enforce single use,S01,P2,REL-002,NEEDS_TECH_LEAD,medium,M01 M02 M03 M04 M05 M06,S01-development-handoff.md; S01-validation.md
REL-004,P0,Execution integrity,Session generation and dispatch coordination,Reconnect and process restart must not reuse old session approvals,S01,P2,REL-002,READY_FOR_LIGHT_QA,medium,O05 O06 M10,S01-development-handoff.md; S01-validation.md
REL-005,P1,Contracts,Shared parameter validation and safe rendering,Unknown types and false booleans must not change command meaning,S01,P1,REL-001,READY_FOR_LIGHT_QA,medium,C04 C05,S01-development-handoff.md; S01-validation.md
REL-006,P1,Contracts,Shared REST parser and truthful compatibility,Current baseline produces six false compatibility errors,S01,P1,REL-001,READY_FOR_LIGHT_QA,medium,C06 C07,S01-development-handoff.md; S01-validation.md
REL-007,P1,Local boundary,Per-launch client credential and proxy checks,Protect the shared authenticated runtime from unintended local web clients,S01,P3,REL-004,READY_FOR_LIGHT_QA,medium,A01 A02 A03,S01-development-handoff.md; S01-validation.md
REL-008,P1,Auditability,Bounded redacted complete activity history,Secrets and failures must not disappear or leak through command strings,S01,P3,REL-003,READY_FOR_LIGHT_QA,medium,A04 A05 A06 A07,S01-development-handoff.md; S01-validation.md
REL-009,P1,Repeatable delivery,Reproducible dependencies packaging and launcher,Fresh Windows installation must be predictable and diagnose failures,S01,P4,REL-007,READY_FOR_LIGHT_QA,medium,E01 E02 E03 E04 E06,S01-development-handoff.md; S01-validation.md
REL-010,P1,Operator trust,Context-safe UI and behavioral test harness,Delayed responses must not revive obsolete targets or plans,S01,P4,REL-003 REL-004 REL-007,READY_FOR_LIGHT_QA,medium,U01 U02 U03 U04 U05 U06 U07,S01-development-handoff.md; S01-validation.md
REL-011,P1,Repeatable delivery,Provider-aware CI and integrated handoff,Changes in upstream execution sources must trigger Studio checks,S01,P4,REL-009 REL-010,READY_FOR_LIGHT_QA,medium,E05 and all S01 offline rows,S01-development-handoff.md; S01-validation.md
REL-012,P0,Execution integrity,Truthful verification and uncertain outcomes,Do not confuse read-back failure with failed apply or retry uncertain writes,S01,P2,REL-002 REL-004,NEEDS_TECH_LEAD,medium,O07 M07 M08 M09,S01-development-handoff.md; S01-validation.md
QA-001,P1,Independent verification,Independent S01 test audit and branch inventory,Provide evidence the developer did not self-certify,S01,QA,REL-011,WAITING_FOR_LEAD,light,TEST_STRATEGY complete and exact candidate recorded,
LEAD-001,P1,Architecture governance,Audit S01 logic and decide next sprint,Passing tests alone cannot prove execution and concurrency correctness,S01,REVIEW,QA-001,NEEDS_TECH_LEAD,lead,Personal critical-path audit and explicit verdict,
LIVE-001,P1,Live validation,Designated tenant read smoke,Confirm real authentication and provider shapes separately from mocks,S01,OPTIONAL_LIVE,REL-011,BLOCKED_EXTERNAL,user plus light,L01 with explicitly designated tenant,
LIVE-002,P1,Live validation,Designated disposable workspace write smoke,Confirm actual create update and verification contract,S01,OPTIONAL_LIVE,REL-011,BLOCKED_EXTERNAL,user plus light,L02 with explicit operation scope,
SEC-001,P2,Security Audit,Readiness and exact preview,Make tool prerequisites and safeguards understandable,S02 proposed,P1,LEAD-001,PROPOSED,lead then medium,Inspect upstream auth NoPrompt and allowlisted parameters with safe output paths,
