"ref","sha","upstream","symbolic_target","purpose","test_status","lead_status","observed_date","evidence"
"fabric-ops-studio-v1","af1c13e56f6c4cbe24d469679e93068c891e6dbe","origin/fabric-ops-studio-v1","","Studio integration","27 backend passed; P0 probes reproduced; no live validation","REPAIRS_REQUIRED","2026-09-08","reports/2026-09-08-baseline-audit.md"
"main","cee092b23e874894caab3daa2a8e3b6e87505eda","origin/main","","Toolbox base","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"origin","cee092b23e874894caab3daa2a8e3b6e87505eda","","refs/remotes/origin/main","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"origin/fabric-ops-studio-v1","af1c13e56f6c4cbe24d469679e93068c891e6dbe","","","Studio integration","NOT_ASSESSED","REPAIRS_REQUIRED","2026-09-08","reports/2026-09-08-baseline-audit.md"
"origin/main","cee092b23e874894caab3daa2a8e3b6e87505eda","","","Toolbox base","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/AzureNick-patch-1","69ccc85213a72601cd5302cb3557b1a1b2d9ae51","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/BCDR","6659f40340b444ea8ee42eae8e866cd4f646f04e","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.1.1","4c3f515eca4e7965a90bbe176fb81c5e9dd36b41","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.1.1-docu","2f5f49e7ee62aa53decca6ad1afe7800a27ca0d3","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.2.1","d4be801b693e612cb454b32c71d6b4d0e5646319","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.3.1-Deploy-Patch","accbee2767312431d2271443c1559733d01581be","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.5.1","f5dd3f6455ef71165cf0fcda53fc1e015e88d89f","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.6.1","f47c27f8d49578ad3c83b0b3149488f1d0e5912f","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FUAM-2026.7.1","89c7cc9a75fc4377b9edf55c46d009b9757c5f50","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/FWM-2026.2.1","0d3f13fd2b8fb7f839cf383039ba3d8adde15924","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream","cee092b23e874894caab3daa2a8e3b6e87505eda","","refs/remotes/upstream/main","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/MarkPryceMaherMSFT-patch-1","714246f3b4a34a0a72ad116cbdaaf34f04c3ee94","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/Spork-2025-01-21","25ec90fcdb7a14b1d0aa6d2a91d60231b6066a83","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/Spork-2026-01-22","6f4e4b174708c143a2d9b1b67a17bd521e2a1558","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/Spork-2026-03-12","6bb731f87846e92850eb4ceb6112adbf05cc6379","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/client/brace-expansion-1.1.18","41e4ef1eb737e34c09ee1a025c7df739d0cdb0b2","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/client/fast-uri-3.1.7","c638f233a8aafc2d60fb4a215fd360582b9f65dd","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/client/multi-c845c5b3f5","c60a63233529569ca430b5949a3abe1787083d32","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/client/nanoid-3.3.18","139a9f6fccccc14bd335e9a58ae2ca81e4bc0bde","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/client/react-router-dom-6.30.6","8cee66e07f26951da1b24e9df08aa9b3010b9b53","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/server/browserslist-4.28.8","37ec069e058e433d3c7d4b22f04d3e7f953b03b9","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/accelerators/mirror-lakehouse/server/multi-fe93483a4d","7241eab2449f3c883caacc325c2b9d7037d0af6c","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/tools/FabricDataFactoryMigrationAssistant/humanfs/node-0.16.8","35aa7a6d4423074cd94321155c396f293fd17de3","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/tools/FabricDataFactoryMigrationAssistant/multi-a7d9b25bf1","13f9b3646c9a4fb4f59910825de8d986815fc087","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/tools/FabricDataFactoryMigrationAssistant/nanoid-3.3.18","4260daca3f5830250c1dfb379ba5e6ce4211f15b","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/npm_and_yarn/tools/FabricDataFactoryMigrationAssistant/postcss-8.5.26","4e25320a8deda95ab97976367aaeb0db9b58f627","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/pip/samples/open-mirroring/MariaDBMirroring/consumer/kafka-python-2.3.2","03817b91a14942938ad48b26c95d7be2e8810a09","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/dependabot/pip/samples/open-mirroring/MariaDBMirroring/consumer/pyarrow-23.0.1","eb18ae06d5e8226ecf2d1b899a973ff991cd953f","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/hurtn-patch-1","921d32edff170295b25dacf4e8cd8f902155fbee","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/itsnotaboutthecell-patch-1","6bfa675d7178169863b7c609fb8985392a352709","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/itsnotaboutthecell-patch-2","ba7bd1c19211c18b33cf9698c2462a255c30ded2","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/knime2fabric","788df45ad8ff3dee47649d4ec744d4ded03cd541","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/main","cee092b23e874894caab3daa2a8e3b6e87505eda","","","Toolbox base","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/revert-110-patch-1","cb551dd5a57372c83d352017b8e8bb7fd1cab72d","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
"upstream/rtd-samples","6f508beb3239a8d410dea2fab7f542da8bb661bc","","","Upstream branch or alias - outside S01","NOT_ASSESSED","NOT_ASSESSED","2026-09-08",""
